,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,price,Business Type,Property Type,Zoning,Photo file,Photo url
763,0-5 years,"87 (Nov 7, 2019)","Home Legend Realty Inc., Brokerage",46.62 x 125 Feet,E4629361,No Data,2-Storey,"$6,589 /yr",Detached,27,29 Blueking Crescent,Toronto,Rouge E10,"$1,458,000 ",,,,,
764,No Data,"88 (Nov 6, 2019)","Re/max Professionals Inc., Brokerage",41.67 x 120 Feet,W4628251,No Data,1 1/2 Storey,"$6,027 /yr",Detached,16,4 Greenmount Road,Toronto,Stonegate-queensway,"$1,448,000 ",,,,,
765,No Data,"88 (Nov 6, 2019)","Homelife Landmark Realty Inc., Brokerage",67.00 x 188.67 Feet,C4628249,No Data,2-Storey,"$6,006 /yr",Detached,40,190 Northwood Drive,Toronto,Newtonbrook East,"$1,499,000 ",,,,,
766,6-15 years,"89 (Nov 6, 2019)","Re/max Realtron Jim Mo Realty, Brokerage",70.07 x 108.08 Feet,C4628025,3500-5000 sqft,2-Storey,"$15,472 /yr",Detached,19,51 Chelford Road,Toronto,Banbury-don Mills,"$3,488,000 ",,,,,
767,100 years,"89 (Nov 6, 2019)","Royal Lepage Supreme Realty, Brokerage",25.50 x 132 Feet,W4627967,3366 sqft,No Data,"$6,587 /yr",Investment,94,181 Dowling Avenue,Toronto,South Parkdale,"$2,499,900 ",,,,,
768,No Data,"89 (Nov 6, 2019)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",60.08 x 124.08 Feet,C4627491,No Data,2-Storey,"$13,756 /yr",Detached,40,153 Fenn Avenue,Toronto,St. Andrew-windfields,"$3,480,000 ",,,,,
769,No Data,"89 (Nov 6, 2019)","Engel & Volkers Richmond Hill, Brokerage",58.52 x 125 Feet,C4627460,No Data,Sidesplit 4,"$5,673 /yr",Detached,53,2 Alamosa Drive,Toronto,Bayview Village,"$1,599,000 ",,,,,
770,No Data,"88 (Nov 7, 2019)","Right At Home Realty Inc., Brokerage",,C4628383,5500 sqft,,"$24,831 /yr",Store W/Apt/Office,96,214 Carlton Street,Toronto,Moss Park,"$3,895,000 ",No Data,Cr,Cr,,
771,No Data,"90 (Nov 5, 2019)","Royal Lepage Real Estate Services Ltd., Brokerage",19.83 x 123 Feet,C4626966,3000-3500 sqft,3-Storey,"$5,581 /yr",Detached,93,41 Northcote Avenue,Toronto,Little Portugal,"$2,900,000 ",,,,,
772,No Data,"90 (Nov 5, 2019)","Re/max Realtron David Soberano Group, Brokerage",60.01 x 115 Feet,C4626821,No Data,2-Storey,"$13,500 /yr",Detached,35,92 Clanton Park Road,Toronto,Clanton Park,"$2,999,900 ",,,,,
773,16-30 years,"90 (Nov 5, 2019)","Forest Hill Real Estate Inc., Brokerage",50.66 x 127.05 Feet,C4626726,2500-3000 sqft,2-Storey,"$12,398 /yr",Detached,41,265 Glengrove Avenue,Toronto,Lawrence Park South,"$3,395,000 ",,,,,
774,51-99 years,"90 (Nov 5, 2019)","Cbre Limited, Brokerage",65.20 x 120.19 Feet,E4626277,No Data,Bungalow,"$4,150 /yr",Detached,62,6 Reidmount Avenue,Toronto,Agincourt South-malvern West,"$1,399,000 ",,,,,
775,No Data,"90 (Nov 5, 2019)","Re/max Jazz Inc., Brokerage",52.50 x 398.5 Feet,E4626069,No Data,Bungalow-Raised,"$3,506 /yr",Detached,33,4082 Ellesmere Road,Toronto,Highland Creek,"$1,100,000 ",,,,,
776,No Data,"91 (Nov 4, 2019)","Re/max Professionals Inc., Brokerage",64.99 x 543.06 Feet,W4625469,No Data,2-Storey,"$18,319 /yr",Detached,55,18 Westmount Park Road,Toronto,Humber Heights,"$7,688,000 ",,,,,
777,31-50 years,"91 (Nov 4, 2019)","Royal Lepage Signature Realty, Brokerage",66.01 x 114 Feet,C4625410,3000-3500 sqft,2-Storey,"$11,492 /yr",Detached,64,562 Blythwood Road,Toronto,Bridle Path-sunnybrook-york Mills,"$3,289,000 ",,,,,
778,51-99 years,"91 (Nov 4, 2019)","Purplebricks, Brokerage",111.00 x 45 Feet,W4625268,1100-1500 sqft,Bungalow-Raised,"$2,770 /yr",Detached,62,2 Judhaven Road,Toronto,Thistletown-beaumonde Heights,"$859,900 ",,,,,
779,No Data,"91 (Nov 4, 2019)","Re/max Professionals Inc., Brokerage",25.00 x 126.5 Feet,W4625067,No Data,2-Storey,"$5,313 /yr",Detached,74,42 Emerald Crescent,Toronto,New Toronto,"$1,729,000 ",,,,,
780,0-5 years,"94 (Nov 1, 2019)","Right At Home Realty Inc., Brokerage",50.00 x 125 Feet,W4624433,2500-3000 sqft,2-Storey,"$9,790 /yr",Detached,74,256 Grenview Boulevard,Toronto,Stonegate-queensway,"$2,790,000 ",,,,,
781,0-5 years,"93 (Nov 1, 2019)","Royal Lepage Your Community Realty, Brokerage",65.68 x 159.78 Feet,E4624190,3500-5000 sqft,2-Storey,"$10,094 /yr",Detached,51,138 Fairglen Avenue,Toronto,L'amoreaux,"$2,988,000 ",,,,,
782,No Data,"94 (Nov 1, 2019)","Re/max Realtron Realty Inc., Brokerage",71.17 x 150 Feet,C4623836,5000 sqft,2-Storey,"$37,831 /yr",Detached,52,32 Truman Road,Toronto,St. Andrew-windfields,"$5,980,000 ",,,,,
783,No Data,"94 (Nov 1, 2019)","Sutton Group-heritage Realty Inc., Brokerage",56.17 x 319 Feet,E4623748,No Data,Bungalow,"$4,160 /yr",Detached,61,11 Saunders Road,Toronto,Guildwood,"$849,900 ",,,,,
784,51-99 years,"94 (Nov 1, 2019)","Forest Hill Real Estate Inc., Brokerage",65.00 x 100 Feet,C4623468,1100-1500 sqft,Bungalow-Raised,"$5,651 /yr",Detached,78,185 Cottonwood Drive,Toronto,Banbury-don Mills,"$1,688,000 ",,,,,
785,No Data,"94 (Nov 1, 2019)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",46.00 x 135.66 Feet,C4623331,No Data,Bungalow,"$8,545 /yr",Detached,34,240 Dunview Avenue,Toronto,Willowdale East,"$2,088,000 ",,,,,
786,No Data,"95 (Oct 31, 2019)","Homelife Frontier Realty Inc., Brokerage",,C4622788,1600 sqft,,"$30,645 /yr",Office,61,273 Finch Avenue,Toronto,Willowdale West,"$2,999,000 ",Medical/Dental,Commercial/Residential,Commercial/Residential,,
787,No Data,"95 (Oct 31, 2019)","Royal Lepage Real Estate Services Katy Torabi, Brokerage",134.15 x 191 Feet,C4622695,No Data,2-Storey,"$8,200 /yr",Detached,40,12 Spinney Court,Toronto,Parkwoods-donalda,"$2,998,000 ",,,,,
788,No Data,"95 (Oct 31, 2019)","Re/max Realtron Realty Inc., Brokerage",51.00 x 137.5 Feet,W4622642,No Data,2-Storey,No Data,Detached,53,32 Westdale Drive,Toronto,Downsview-roding-cfb,"$1,999,999 ",,,,,
789,New,"95 (Oct 31, 2019)","Century 21 Leading Edge Realty Inc., Brokerage",50.00 x 160 Feet,W4622629,3500-5000 sqft,2-Storey,"$4,500 /yr",Detached,57,60 Calvington Drive,Toronto,Downsview-roding-cfb,"$2,200,000 ",,,,,
790,No Data,"95 (Oct 31, 2019)","Right At Home Realty Inc., Brokerage",57.00 x 143 Feet,W4622517,3500-5000 sqft,2-Storey,"$7,909 /yr",Detached,24,186 Rustic Road,Toronto,Rustic,"$1,500,000 ",,,,,
791,New,"95 (Oct 31, 2019)","Homelife New World Realty Inc., Brokerage",42.00 x 232 Feet,C4622152,3500-5000 sqft,2-Storey,No Data,Detached,32,380 Ruth Avenue,Toronto,Newtonbrook East,"$2,858,000 ",,,,,
792,No Data,"96 (Oct 30, 2019)","Re/max Imperial Realty Inc., Brokerage",48.00 x 120 Feet,C4621860,No Data,1 1/2 Storey,"$4,631 /yr",Detached,46,101 Brookview Drive,Toronto,Englemount-lawrence,"$1,349,000 ",,,,,
793,No Data,"96 (Oct 30, 2019)","Royal Lepage Vision Realty, Brokerage",47.50 x 196 Feet,E4621794,3500-5000 sqft,2-Storey,"$7,291 /yr",Detached,60,6 Muir Drive,Toronto,Scarborough Village,"$1,590,000 ",,,,,
794,New,"96 (Oct 30, 2019)","Psr, Brokerage",25.00 x 133 Feet,W4621702,2500-3000 sqft,2-Storey,No Data,Detached,74,168 Indian Road Crescent,Toronto,Junction Area,"$2,650,000 ",,,,,
795,0-5 years,"96 (Oct 30, 2019)","Home Standards Brickstone Realty, Brokerage",52.08 x 130 Feet,C4621027,3500-5000 sqft,2-Storey,No Data,Detached,84,70 Weybourne Crescent,Toronto,Lawrence Park South,"$5,695,000 ",,,,,
796,No Data,"97 (Oct 29, 2019)","Revolution Realty Inc., Brokerage",25.00 x 118.17 Feet,C4620795,5000 sqft,3-Storey,"$8,507 /yr",Detached,98,15 Berryman Street,Toronto,Annex,"$3,450,000 ",,,,,
797,New,"1 (Feb 3, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 114 Feet,C4682105,3500-5000 sqft,2-Storey,"$13,081 /yr",Detached,72,18 Greenview Avenue,Toronto,Newtonbrook West,"$2,300,000 ",,,,,
798,0-5 years,"97 (Oct 29, 2019)","Re/max Noblecorp Real Estate, Brokerage",30.00 x 130 Feet,W4619917,3000-3500 sqft,3-Storey,"$6,523 /yr",Detached,50,2513 Keele Street,Toronto,Maple Leaf,"$1,549,900 ",,,,,
799,0-5 years,"97 (Oct 29, 2019)","Re/max Crossroads Realty Inc., Brokerage",30.22 x 160.61 Feet,C4619854,2500-3000 sqft,2-Storey,"$12,010 /yr",Detached,77,84 Holmes Avenue,Toronto,Willowdale East,"$2,598,000 ",,,,,
800,No Data,"98 (Oct 28, 2019)","Soltanian Real Estate Inc., Brokerage",49.15 x 210.46 Feet,C4619261,No Data,2-Storey,No Data,Detached,40,205 Newton Drive,Toronto,Newtonbrook East,"$2,888,000 ",,,,,
801,No Data,"98 (Oct 28, 2019)","Right At Home Realty Inc., Brokerage",57.00 x 110.25 Feet,W4619119,No Data,Backsplit 4,"$5,249 /yr",Detached,59,27 Hartsdale Drive,Toronto,Willowridge-martingrove-richview,"$1,307,000 ",,,,,
802,0-5 years,"98 (Oct 28, 2019)","Re/max Realtron Bijan Barati Real Estate, Brokerage",50.00 x 150 Feet,C4618913,3500-5000 sqft,2-Storey,No Data,Detached,32,279 Mckee Avenue,Toronto,Willowdale East,"$3,488,000 ",,,,,
803,No Data,"100 (Oct 26, 2019)","Re/max Empire Realty, Brokerage",39.59 x 123.53 Feet,C4618487,3500-5000 sqft,2-Storey,"$7,141 /yr",Detached,38,20 Carmel Court,Toronto,Bayview Woods-steeles,"$3,169,000 ",,,,,
804,0-5 years,"100 (Oct 26, 2019)","Harvey Kalles Real Estate Ltd., Brokerage",145.72 x 129.7 Feet,W4618328,3500-5000 sqft,2-Storey,"$14,466 /yr",Detached,52,7 Freeman Road,Toronto,Beechborough-greenbrook,"$2,107,000 ",,,,,
805,No Data,"101 (Oct 25, 2019)","Homelife/miracle Realty Ltd, Brokerage",63.83 x 119.27 Feet,W4618200,No Data,2-Storey,"$2,866 /yr",Detached,63,60 Lexington Avenue,Toronto,West Humber-clairville,"$884,900 ",,,,,
806,No Data,"101 (Oct 25, 2019)","Realawstate Realty Brokerage, Brokerage",30.28 x 101 Feet,C4618013,No Data,3-Storey,"$9,400 /yr",Detached,99,37 Gloucester Street,Toronto,Church-yonge Corridor,"$6,500,000 ",,,,,
807,No Data,"101 (Oct 25, 2019)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",60.00 x 125 Feet,C4617757,No Data,2-Storey,"$12,225 /yr",Detached,28,75 Yorkminster Road,Toronto,St. Andrew-windfields,"$3,880,000 ",,,,,
808,No Data,"101 (Oct 25, 2019)","Culturelink Realty Inc., Brokerage",29.52 x 109.9 Feet,E4617378,2000-2500 sqft,2-Storey,"$4,837 /yr",Detached,80,107 New Forest Square,Toronto,Steeles,"$1,280,000 ",,,,,
809,No Data,"102 (Oct 24, 2019)","Harvey Kalles Real Estate Ltd., Brokerage",65.00 x 93.95 Feet,C4617114,No Data,Bungalow,"$6,318 /yr",Detached,65,4 Park Glen Drive,Toronto,Banbury-don Mills,"$1,399,000 ",,,,,
810,No Data,"102 (Oct 24, 2019)","Rifo Realty Inc., Brokerage",99.00 x 139 Feet,C4617035,3500-5000 sqft,2-Storey,"$13,702 /yr",Detached,30,27 Penwood Crescent,Toronto,Banbury-don Mills,"$3,550,000 ",,,,,
811,No Data,"102 (Oct 24, 2019)","Forest Hill Real Estate Inc., Brokerage",45.00 x 35 Feet,E4616944,No Data,3-Storey,"$16,224 /yr",Detached,95,663 Greenwood Avenue,Toronto,Danforth,"$2,698,000 ",,,,,
812,No Data,"103 (Oct 23, 2019)","Re/max Hallmark Realty Ltd., Brokerage",51.80 x 160 Feet,C4615684,3500-5000 sqft,2-Storey,"$18,900 /yr",Detached,74,4 Ivor Road,Toronto,Bridle Path-sunnybrook-york Mills,"$4,700,000 ",,,,,
813,No Data,"103 (Oct 23, 2019)","Sutton Group-heritage Realty Inc., Brokerage",40.00 x 130 Feet,W4615573,No Data,Bungalow,"$3,606 /yr",Detached,26,53 Jay Street,Toronto,Maple Leaf,"$1,158,000 ",,,,,
814,No Data,"103 (Oct 23, 2019)","Century 21 Kennect Realty, Brokerage",26.79 x 95.78 Feet,E4615416,2000-2500 sqft,2-Storey,"$7,113 /yr",Detached,90,370 Rhodes Avenue,Toronto,Greenwood-coxwell,"$1,599,000 ",,,,,
815,0-5 years,"103 (Oct 23, 2019)","Prompton Real Estate Services Corp., Brokerage",50.96 x 158 Feet,C4614869,3500-5000 sqft,2-Storey,"$15,574 /yr",Detached,37,205 Norton Avenue,Toronto,Willowdale East,"$3,780,000 ",,,,,
816,New,"104 (Oct 22, 2019)","Homelife Golconda Realty Inc., Brokerage",50.00 x 135 Feet,C4614644,3500-5000 sqft,2-Storey,"$5,363 /yr",Detached,38,188 Park Home Avenue,Toronto,Willowdale West,"$2,990,000 ",,,,,
817,6-15 years,"104 (Oct 22, 2019)","Sutton Group-admiral Realty Inc., Brokerage",61.00 x 135 Feet,C4614309,3500-5000 sqft,2-Storey,"$13,399 /yr",Detached,47,99 Caines Avenue,Toronto,Newtonbrook West,"$2,599,000 ",,,,,
818,16-30 years,"105 (Oct 21, 2019)","Re/max Professionals Inc., Brokerage",75.95 x 168.65 Feet,W4612690,5000 sqft,2-Storey,"$15,657 /yr",Detached,38,46 Edgehill Road,Toronto,Edenbridge-humber Valley,"$4,398,000 ",,,,,
819,New,"105 (Oct 21, 2019)","Royal Lepage Signature Realty, Brokerage",50.00 x 156.89 Feet,C4612707,3500-5000 sqft,2-Storey,No Data,Detached,46,47 Yorkview Drive,Toronto,Willowdale West,"$3,150,000 ",,,,,
820,No Data,"102 (Oct 24, 2019)","Re/max Hallmark Realty Ltd., Brokerage",,C4617144,4000 sqft,,"$34,500 /yr",Commercial/Retail,72,166 Clinton Street,Toronto,Palmerston-little Italy,"$7,485,000 ",No Data,303-Residence With A Commercial/Ind Unit,303-Residence With A Commercial/Ind Unit,,
821,No Data,"108 (Oct 18, 2019)","Re/max Realtron Realty Inc., Brokerage",50.00 x 125 Feet,W4611830,No Data,2-Storey,"$6,320 /yr",Detached,83,8 Stayner Avenue,Toronto,Yorkdale-glen Park,"$1,799,000 ",,,,,
822,No Data,"108 (Oct 18, 2019)","Century 21 Heritage House Ltd., Brokerage",34.63 x 102.18 Feet,W4611628,700-1100 sqft,Bungalow,"$2,900 /yr",Detached,76,927 Islington Avenue,Toronto,Islington-city Centre West,"$959,900 ",,,,,
823,No Data,"108 (Oct 18, 2019)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",63.39 x 110.46 Feet,C4611636,No Data,2-Storey,"$10,015 /yr",Detached,37,2 Teakwood Grove,Toronto,Banbury-don Mills,"$1,998,000 ",,,,,
824,No Data,"108 (Oct 18, 2019)","New Era Real Estate, Brokerage",29.99 x 120 Feet,E4611366,2000-2500 sqft,2-Storey,"$4,077 /yr",Detached,61,81 Vanbrugh Avenue,Toronto,Birchcliffe-cliffside,"$1,099,000 ",,,,,
825,No Data,"108 (Oct 18, 2019)","Alan Newton Real Estate Ltd., Brokerage",64.99 x 117 Feet,C4611279,No Data,2-Storey,"$6,812 /yr",Detached,56,3 Lanbrooke Avenue,Toronto,Newtonbrook West,"$1,795,000 ",,,,,
826,No Data,"108 (Oct 18, 2019)","Forest Hill Real Estate Inc., Brokerage",50.00 x 114.29 Feet,C4610971,3000-3500 sqft,2-Storey,"$7,347 /yr",Detached,67,178 Burnett Avenue,Toronto,Lansing-westgate,"$1,895,000 ",,,,,
827,No Data,"109 (Oct 17, 2019)","Forest Hill Real Estate Inc., Brokerage",77.00 x 192 Feet,C4610520,5000 sqft,2-Storey,"$26,795 /yr",Detached,36,207 Old Yonge Street,Toronto,St. Andrew-windfields,"$7,998,000 ",,,,,
828,6-15 years,"110 (Oct 16, 2019)","Homelife Golconda Realty Inc., Brokerage",75.00 x 110 Feet,C4609479,5000 sqft,2-Storey,"$20,702 /yr",Detached,22,93 Larkfield Drive,Toronto,Banbury-don Mills,"$4,490,000 ",,,,,
829,No Data,"110 (Oct 16, 2019)","Snobar Realty Group Inc., Brokerage",50.00 x 141.75 Feet,W4608279,No Data,Bungalow,"$3,749 /yr",Detached,60,15 Dixon Road,Toronto,Humber Heights,"$1,099,888 ",,,,,
830,No Data,"110 (Oct 16, 2019)","Forest Hill Real Estate Inc., Brokerage",25.00 x 100 Feet,E4608510,No Data,2-Storey,"$3,040 /yr",Detached,78,61 Virginia Avenue,Toronto,Woodbine-lumsden,"$1,788,000 ",,,,,
831,100 years,"110 (Oct 16, 2019)","Royal Lepage Real Estate Services Heaps Estrin Team, Brokera",88.48 x 408.21 Feet,C4608489,5000 sqft,2-Storey,"$34,372 /yr",Detached,15,208 Roxborough Drive,Toronto,Rosedale-moore Park,"$8,995,000 ",,,,,
832,No Data,"110 (Oct 16, 2019)","Royal Lepage Real Estate Services Katy Torabi, Brokerage",77.66 x 159.71 Feet,C4608386,No Data,2-Storey,"$20,727 /yr",Detached,44,80 Highland Crescent,Toronto,Bridle Path-sunnybrook-york Mills,"$5,180,000 ",,,,,
833,No Data,"110 (Oct 16, 2019)","Royal Lepage Real Estate Services Katy Torabi, Brokerage",100.00 x 206.42 Feet,C4608288,No Data,2-Storey,"$22,168 /yr",Detached,50,6 Fifeshire Road,Toronto,St. Andrew-windfields,"$6,780,000 ",,,,,
834,No Data,"110 (Oct 16, 2019)","Royal Lepage Real Estate Services Katy Torabi, Brokerage",81.73 x 120.8 Feet,C4608274,No Data,2-Storey,"$10,780 /yr",Detached,61,146 Bannatyne Drive,Toronto,St. Andrew-windfields,"$3,080,000 ",,,,,
835,No Data,"111 (Oct 15, 2019)","Re/max Professionals Inc., Brokerage",85.01 x 159 Feet,W4607881,3500-5000 sqft,Sidesplit 5,No Data,Detached,15,30 Edenbrook Hill,Toronto,Edenbridge-humber Valley,"$3,999,900 ",,,,,
836,No Data,"111 (Oct 15, 2019)","Century 21 People`s Choice Realty Inc., Brokerage",40.00 x 132 Feet,W4607727,No Data,3-Storey,"$6,562 /yr",Detached,94,7 Laxton Avenue,Toronto,South Parkdale,"$2,100,000 ",,,,,
837,No Data,"111 (Oct 15, 2019)","Living Realty Inc., Brokerage",40.00 x 128 Feet,C4607688,3500-5000 sqft,3-Storey,"$22,280 /yr",Detached,79,22 Strathearn Boulevard,Toronto,Forest Hill South,"$6,380,000 ",,,,,
838,No Data,"111 (Oct 15, 2019)","Right At Home Realty Inc., Brokerage",60.00 x 127 Feet,W4607351,No Data,2-Storey,"$8,651 /yr",Detached,77,2 Chestnut Hills Parkway,Toronto,Edenbridge-humber Valley,"$3,449,000 ",,,,,
839,No Data,"111 (Oct 15, 2019)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",86.30 x 145.2 Feet,C4607499,5000 sqft,2-Storey,"$26,239 /yr",Detached,60,164 Beechwood Avenue,Toronto,Bridle Path-sunnybrook-york Mills,"$5,995,000 ",,,,,
840,No Data,"111 (Oct 15, 2019)","Forest Hill Real Estate Inc., Brokerage",50.00 x 190 Feet,C4607095,No Data,2-Storey,"$25,341 /yr",Detached,41,11 Honeywell Place,Toronto,St. Andrew-windfields,"$4,499,000 ",,,,,
841,No Data,"112 (Oct 14, 2019)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",73.00 x 207 Feet,C4605080,No Data,2-Storey,No Data,Detached,17,12 Winton Road,Toronto,Bridle Path-sunnybrook-york Mills,"$9,998,000 ",,,,,
842,No Data,"112 (Oct 14, 2019)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",70.00 x 200.25 Feet,C4605393,No Data,2-Storey,"$25,542 /yr",Detached,34,110 Arjay Crescent,Toronto,Bridle Path-sunnybrook-york Mills,"$6,500,000 ",,,,,
843,0-5 years,"113 (Oct 13, 2019)","Re/max Ace Realty Inc., Brokerage",72.33 x 115 Feet,E4605834,3500-5000 sqft,2-Storey,No Data,Detached,70,1 Shaneen Boulevard,Toronto,Wexford-maryvale,"$1,949,900 ",,,,,
844,No Data,"113 (Oct 13, 2019)","Bay Street Group Inc., Brokerage",154.00 x 80.52 Feet,C4606093,3000-3500 sqft,2-Storey,"$6,580 /yr",Detached,25,501 Hidden Trail,Toronto,Westminster-branson,"$1,398,800 ",,,,,
845,No Data,"115 (Oct 10, 2019)","Homelife Golconda Realty Inc., Brokerage",48.00 x 106 Feet,C4604864,3500-5000 sqft,2-Storey,"$8,162 /yr",Detached,68,458 Glengarry Avenue,Toronto,Bedford Park-nortown,"$2,600,000 ",,,,,
846,No Data,"116 (Oct 10, 2019)","Bay Street Group Inc., Brokerage",50.00 x 130 Feet,C4604822,No Data,2-Storey,"$7,987 /yr",Detached,47,288 Johnston Avenue,Toronto,Lansing-westgate,"$2,390,000 ",,,,,
847,6-15 years,"116 (Oct 10, 2019)","Engel & Volkers Toronto Central, Brokerage",55.77 x 152 Feet,C4604396,3000-3500 sqft,2-Storey,"$10,141 /yr",Detached,12,176 Upper Canada Drive,Toronto,St. Andrew-windfields,"$2,299,000 ",,,,,
848,16-30 years,"116 (Oct 10, 2019)","Homelife Frontier Realty Inc., Brokerage",73.00 x 201 Feet,C4604194,5000 sqft,Backsplit 5,"$10,526 /yr",Detached,54,353 Betty Ann Drive,Toronto,Willowdale West,"$3,380,000 ",,,,,
849,No Data,"116 (Oct 10, 2019)","Re/max Crossroads Realty Inc., Brokerage",43.75 x 114.75 Feet,E4603825,2500-3000 sqft,2-Storey,No Data,Detached,60,27 Shropshire Drive,Toronto,Dorset Park,"$1,699,000 ",,,,,
850,No Data,"116 (Oct 10, 2019)","Re/max Hallmark Realty Ltd., Brokerage",20.01 x 111.54 Feet,E4603766,No Data,2-Storey,"$2,555 /yr",Detached,45,12 Warwick Castle Court,Toronto,Malvern,"$560,000 ",,,,,
851,No Data,"117 (Oct 9, 2019)","Real Estate Homeward, Brokerage",50.00 x 300 Feet,E4603653,No Data,2-Storey,"$9,577 /yr",Detached,57,5 Midland Avenue,Toronto,Oakridge,"$2,499,999 ",,,,,
852,No Data,"117 (Oct 9, 2019)","Re/max Realtron Realty Inc., Brokerage",40.50 x 140 Feet,C4603282,2500-3000 sqft,Bungalow,"$5,802 /yr",Detached,75,206 Willowdale Avenue,Toronto,Willowdale East,"$1,498,000 ",,,,,
853,No Data,"118 (Oct 8, 2019)","Ipro Realty Ltd., Brokerage",34.44 x 109.9 Feet,E4601971,No Data,2-Storey,"$3,619 /yr",Detached,3,11 Carlisle Crescent,Toronto,Rouge E11,"$949,900 ",,,,,
854,51-99 years,"119 (Oct 7, 2019)","Re/max Aboutowne Realty Corp., Brokerage",39.99 x 119.79 Feet,W4601144,1100-1500 sqft,2-Storey,"$3,089 /yr",Detached,99,97 John Street,Toronto,Weston,"$825,000 ",,,,,
855,No Data,"119 (Oct 7, 2019)","Tradeworld Realty Inc, Brokerage",25.00 x 110 Feet,C4600944,No Data,2-Storey,"$7,350 /yr",Detached,37,59 Standish Avenue,Toronto,Rosedale-moore Park,"$1,950,000 ",,,,,
856,No Data,"119 (Oct 7, 2019)","Forest Hill Real Estate Inc., Brokerage",122.00 x 216 Feet,C4600820,No Data,3-Storey,"$51,991 /yr",Detached,49,43 Russell Hill Road,Toronto,Casa Loma,"$11,500,000 ",,,,,
857,New,"119 (Oct 7, 2019)","Century 21 Percy Fulton Ltd., Brokerage",49.00 x 82 Feet,C4600327,2500-3000 sqft,2-Storey,"$3,180 /yr",Detached,61,179 Parkview Avenue,Toronto,Willowdale East,"$2,388,000 ",,,,,
858,No Data,"119 (Oct 7, 2019)","Wynn Realty Corporation, Brokerage",25.00 x 118 Feet,C4600157,3500-5000 sqft,3-Storey,"$7,101 /yr",Detached,94,179 Crawford Street,Toronto,Trinity-bellwoods,"$3,800,000 ",,,,,
859,No Data,"120 (Oct 6, 2019)","Re/max Realtron Realty Inc., Brokerage",30.00 x 136.68 Feet,E4599976,No Data,Bungalow,"$3,531 /yr",Detached,84,21 Rednor Road,Toronto,East York,"$999,999 ",,,,,
860,No Data,"121 (Oct 5, 2019)","Homelife New World Cindy Chen Realty Inc., Brokerage",40.00 x 106 Feet,C4599658,3000-3500 sqft,2-Storey,"$12,600 /yr",Detached,86,537 Douglas Avenue,Toronto,Bedford Park-nortown,"$2,780,000 ",,,,,
861,No Data,"122 (Oct 4, 2019)","Homelife/future Realty Inc., Brokerage",50.00 x 135 Feet,E4599379,3500-5000 sqft,2-Storey,"$5,800 /yr",Detached,60,34 Thatcher Avenue,Toronto,Cliffcrest,"$1,688,800 ",,,,,
862,No Data,"122 (Oct 4, 2019)","Re/max Premier Inc., Brokerage",50.00 x 155.37 Feet,W4598659,No Data,2-Storey,"$8,166 /yr",Detached,16,286 Rustic Road,Toronto,Rustic,"$1,999,900 ",,,,,
863,No Data,"123 (Oct 3, 2019)","Harvey Kalles Real Estate Ltd., Brokerage",55.00 x 172.14 Feet,C4597805,5000 sqft,3-Storey,"$25,141 /yr",Detached,60,257 Dunvegan Road,Toronto,Forest Hill South,"$5,500,000 ",,,,,
864,No Data,"123 (Oct 3, 2019)","Aimhome Realty Inc., Brokerage",151.39 x 115.48 Feet,C4597462,No Data,2-Storey,"$16,645 /yr",Detached,14,2 Shady Oaks Crescent,Toronto,Bridle Path-sunnybrook-york Mills,"$4,180,000 ",,,,,
865,New,"123 (Oct 3, 2019)","Re/max Realtron Realty Inc., Brokerage",40.00 x 140 Feet,C4597403,3500-5000 sqft,2-Storey,No Data,Detached,53,10 Glen Rush Boulevard,Toronto,Bedford Park-nortown,"$4,288,000 ",,,,,
866,No Data,"123 (Oct 3, 2019)","Royal Lepage Real Estate Services Katy Torabi, Brokerage",53.35 x 243.33 Feet,C4597354,No Data,3-Storey,"$11,378 /yr",Detached,27,220 Owen Boulevard,Toronto,St. Andrew-windfields,"$2,880,000 ",,,,,
867,No Data,"124 (Oct 2, 2019)","Ipro Realty Ltd., Brokerage",95.10 x 202.33 Feet,W4596368,5000 sqft,Sidesplit 3,"$15,202 /yr",Detached,28,70 North Drive,Toronto,Edenbridge-humber Valley,"$4,388,000 ",,,,,
868,No Data,"124 (Oct 2, 2019)","Re/max Realtron Realty Inc., Brokerage",50.00 x 150 Feet,C4596429,No Data,Bungalow,"$5,762 /yr",Detached,46,52 Wynn Road,Toronto,Willowdale West,"$1,680,000 ",,,,,
869,No Data,"124 (Oct 2, 2019)","Re/max Professionals Inc., Brokerage",102.20 x 200 Feet,W4596117,No Data,2-Storey,"$4,273 /yr",Detached,62,1 Westmount Park Road,Toronto,Humber Heights,"$4,777,700 ",,,,,
